file_name,n_tokens
.cargo/config,287
.docker/Dockerfile,673
.docker/Dockerfile.aarch64-linux-android,447
.docker/Dockerfile.armv7-linux-androideabi,513
.docker/Dockerfile.armv7-unknown-linux-gnueabihf,140
.docker/Dockerfile.ci-container,491
.docker/Dockerfile.dev-release,44
.docker/Dockerfile.i686-linux-android,455
.docker/Dockerfile.parity.dev,209
.docker/Dockerfile.release,42
.docker/Dockerfile.ubuntu.ci,314
.docker/Dockerfile.x86_64-linux-android,497
.docker/parity.dev.chain.json,13177
.dockerignore,143
.editorconfig,67
.github/ISSUE_TEMPLATE/bug_report.md,197
.github/dependabot.yml,181
.github/workflows/dev-build.yml,5408
.github/workflows/fmt-and-lint.yml,397
.github/workflows/release-build.yml,4420
.github/workflows/test.yml,2386
.github/workflows/virustotal_scan.yml,147
.vscode/launch.json,479
CHANGELOG.md,6447
Cargo.lock,96781
Cargo.toml,723
Cross.toml,190
LEGAL/CONTRIBUTOR-LICENSE-AGREEMENT,1806
LEGAL/COPYING,7526
LEGAL/DEVELOPER-CERTIFICATE-OF-ORIGIN,323
LEGAL/LICENSE-COPYRIGHT-NOTICE,1429
LEGAL/THIRDPARTY-LICENSES,2396
README.md,2824
docs/ANDROID.md,607
docs/ANDROID_CROSS_ON_M1_MAC.md,734
docs/CONTRIBUTING.md,433
docs/DEV_ENVIRONMENT.md,795
docs/GIT_FLOW_AND_WORKING_PROCESS.md,707
docs/HEAPTRACK.md,317
docs/PR_REVIEW_CHECKLIST.md,289
docs/RASPBERRY_PI4_CROSS.md,194
docs/WASM_BUILD.md,402
examples/README.md,20
examples/wasm/README.md,201
examples/wasm/index.html,509
examples/wasm/script.js,1338
mm2src/adex_cli/Cargo.toml,333
mm2src/adex_cli/src/cli.rs,1015
mm2src/adex_cli/src/log.rs,120
mm2src/adex_cli/src/main.rs,106
mm2src/adex_cli/src/scenarios/helpers.rs,275
mm2src/adex_cli/src/scenarios/init_coins.rs,482
mm2src/adex_cli/src/scenarios/init_mm2_cfg.rs,3498
mm2src/adex_cli/src/scenarios/inquire_extentions.rs,600
mm2src/adex_cli/src/scenarios/mm2_proc_mng.rs,3127
mm2src/adex_cli/src/scenarios/mod.rs,129
mm2src/coins/Cargo.toml,2305
mm2src/coins/build.rs,95
mm2src/coins/coin_balance.rs,4623
mm2src/coins/coin_errors.rs,973
mm2src/coins/coins_tests.rs,1464
mm2src/coins/eth.rs,52426
mm2src/coins/eth/erc1155_abi.json,2108
mm2src/coins/eth/erc20_abi.json,1608
mm2src/coins/eth/erc721_abi.json,2285
mm2src/coins/eth/eth_tests.rs,23297
mm2src/coins/eth/eth_wasm_tests.rs,1042
mm2src/coins/eth/nonce.rs,225
mm2src/coins/eth/swap_contract_abi.json,3428
mm2src/coins/eth/v2_activation.rs,5159
